sample_id,target_class_id,tx0_x,tx0_y,tx0_z,tx1_x,tx1_y,tx1_z,u1_x,u1_y,u1_z,u1_distance_m,u1_angle_deg,u1_required_rate_bpshz,u1_pilot_snr_db,u2_x,u2_y,u2_z,u2_distance_m,u2_angle_deg,u2_required_rate_bpshz,u2_pilot_snr_db,angular_separation_deg,h11_power_db,h12_power_db,h21_power_db,h22_power_db,h11_num_paths,h12_num_paths,h21_num_paths,h22_num_paths,tx0_sector_label,tx0_codebook_label,tx0_sector_angle_deg,tx0_refinement_angle_deg,tx0_target_angle_deg,tx1_sector_label,tx1_codebook_label,tx1_sector_angle_deg,tx1_refinement_angle_deg,tx1_target_angle_deg,best_tx0_sector,best_tx0_codebook,best_tx0_target_angle_deg,best_tx1_sector,best_tx1_codebook,best_tx1_target_angle_deg,target_score,best_score,target_is_best,target_sinr_u1_db,target_sinr_u2_db,target_rate_u1_bpshz,target_rate_u2_bpshz,target_sum_rate_bpshz
0,1,0.0,-0.01,1.5,0.0,0.01,1.5,8.172861511813885,-0.7595225735417228,1.5,8.208077718382555,-5.309377253057812,3.9990047824426895,-7.329779031819012,7.261933366342395,0.017127971511676065,1.5,7.261953565302183,0.1351373814625676,2.008341121866868,-6.266971038497157,5.444514634520379,-86.29466626940732,-85.23191553369722,-86.29662444653654,-85.23185827608545,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,1,0.0,-34.181389750617164,-34.181389750617164,1,-7.868017692877717,-6.952321052832623,0.21832209933364458,0.26511134696678584,0.4834334463004304
1,1,0.0,-0.01,1.5,0.0,0.01,1.5,9.495360583109601,-0.6093709204183057,1.5,9.514893878647463,-3.671958310792772,3.9292080678589714,-8.61342092664175,5.619104251451154,0.21219627980483108,1.5,5.623109446724245,2.16265374114633,3.414074730968926,-4.044884326139254,5.834612051939102,-87.57830816423004,-83.01093764316916,-87.57947721847341,-83.00977156372754,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,1,0.0,-46.12609487537917,-46.12609487537917,1,-9.186454734560103,-5.120641149491886,0.1642739784639806,0.38688186283962606,0.5511558413036066
2,1,0.0,-0.01,1.5,0.0,0.01,1.5,4.79172510128199,-0.6039005602569328,1.5,4.829629937472905,-7.183109175169616,1.5024941597258432,-2.7219678493035597,8.749126159471103,-0.032029548070981954,1.5,8.749184787526849,-0.2097523446893943,2.81919490980331,-7.88524410360867,6.973356830480221,-81.68685508689185,-86.85013134119697,-81.69135360369484,-86.8502037135991,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,7,2,-10.0,0,1,0.0,-15.196765905415301,-15.132753103333975,0,-4.058052546851799,-8.39012208878189,0.47800990560516216,0.19518771192250461,0.6731976175276668
3,1,0.0,-0.01,1.5,0.0,0.01,1.5,8.37391582667759,-0.7113082912996757,1.5,8.404071974796093,-4.855239214499508,4.422966622752743,-7.5348481549339645,7.19098284507674,0.2146906961054885,1.5,7.194186984863698,1.7100886204404588,3.7400541466752926,-6.185204491164661,6.565327834939967,-86.49973539252227,-85.15081214810465,-86.50148663460597,-85.15009172875295,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,1,0.0,-59.15255882752054,-59.15255882752054,1,-8.073979254736447,-6.903821267581582,0.208907278604812,0.26782847237774576,0.47673575098255777
4,1,0.0,-0.01,1.5,0.0,0.01,1.5,4.304000536911895,-0.320592470229581,1.5,4.315924020844874,-4.259928947823071,1.1796829194163267,-1.7459264614516083,7.197916395856632,0.12152148211852826,1.5,7.1989421384227015,0.9672252704446525,1.5239003810792076,-6.19110079362026,5.2271542182677235,-80.7108136990399,-85.15639550213865,-80.7138028179169,-85.15598803120855,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,2,5.0,-3.228901764466516,-3.1369868335748996,0,-3.6350615282086536,-6.866929310103673,0.5190445828576671,0.2699122320332443,0.7889568148909114
5,1,0.0,-0.01,1.5,0.0,0.01,1.5,8.355237238096878,-1.0277445294963259,1.5,8.418209318067017,-7.0125002250388295,3.7901922750493426,-7.549062422015505,9.212604170400466,-0.16564407703243308,1.5,9.214093203388817,-1.03007616525732,4.362454027292584,-8.33480952370978,5.9824240597815095,-86.5139496596038,-87.29969676129807,-86.51646930563746,-87.30003673548353,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,7,2,-10.0,0,1,0.0,-60.3923205354061,-60.38052842984787,0,-8.163395024863707,-8.88733179456619,0.20493853386311392,0.17530267089385854,0.38024120475697243
6,1,0.0,-0.01,1.5,0.0,0.01,1.5,5.132137082723736,-0.5972368440318716,1.5,5.166771030705468,-6.637765696551853,1.0450637833140064,-3.3083785940576957,6.740392267847856,-0.0019134417049986563,1.5,6.7403925394388065,-0.016264948201716756,1.5796068880962748,-5.61963199569107,6.621500748350136,-82.27326583164599,-84.58451923327937,-82.27715365985952,-84.5845261614219,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,7,2,-10.0,0,1,0.0,-3.2932611744310396,-3.247302599070747,0,-4.493403392656691,-6.418300147329951,0.4386683651408182,0.2964556200693294,0.7351239852101477
7,1,0.0,-0.01,1.5,0.0,0.01,1.5,6.993347206963521,-0.7623222560429911,1.5,7.034773655150744,-6.221065433882802,3.0416241883474626,-5.989595568911792,9.405324779290995,-0.030644982586195822,1.5,9.405374703801169,-0.18668381935190936,1.9250648828911987,-8.513418302776639,6.034381614530893,-84.95448280650008,-87.47830554036494,-84.95715849987062,-87.47836624343392,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,1,0.0,-20.94628461506259,-20.94628461506259,1,-6.699683626987221,-8.952287507065659,0.2795447319197706,0.17285006142051385,0.45239479334028443
8,1,0.0,-0.01,1.5,0.0,0.01,1.5,7.520280179152471,-0.5303537187421529,1.5,7.5389580871588056,-4.033999007057004,2.3505880409271875,-6.591345720364985,7.937356375663888,0.21422111238464192,1.5,7.940246653554503,1.545979064675481,4.477314061818811,-7.042313811438234,5.579978071732485,-85.55623295795328,-86.00779059309392,-85.55785403399145,-86.00720104902652,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,1,0.0,-44.50883554179406,-44.50883554179406,1,-7.357581108129131,-7.64887765243132,0.24337192413275036,0.22876974159759278,0.4721416657303431
9,1,0.0,-0.01,1.5,0.0,0.01,1.5,9.761981709541516,-0.6913301306799966,1.5,9.786430618310698,-4.050845369697556,4.7956483971183035,-8.857786292758565,6.047012544474962,0.11197437329578479,1.5,6.048049187408493,1.0608421625485152,1.428290691928137,-4.67797365955478,5.111687532246071,-87.82267353034685,-83.6433923673903,-87.82392720339564,-83.64286089714307,1,1,1,1,0,0,0.0,-5.0,-5.0,0,1,0.0,0.0,0.0,0,0,-5.0,0,1,0.0,-44.80982763678333,-44.80982763678333,1,-9.34448384619073,-5.589508894235847,0.1587150716768644,0.3517289573659028,0.5104440290427672
