sample_id,tx_x,tx_y,tx_z,rx_x,rx_y,rx_z,distance_m,azimuth_deg,elevation_deg,frequency_hz,num_paths,strongest_delay_ns,strongest_mag,strongest_power_db,total_power,total_power_db,rms_delay_spread_ns
0,[-2.],[0.],[1.5],0.5,-2.0,1.5,6.18465843842649,[ 11.30993247 -90.          23.19859051],[-11.30993247 -34.9920202    0.        ],[6e+10],1,10.679261,0.0003820703,-68.35713,1.4597772e-07,-68.35713,0.0
1,[-2.],[0.],[1.5],0.5,-1.4285714285714286,1.5,5.73967573570323,[ 11.30993247 -68.19859051  23.19859051],[-11.68785227 -31.20875847   0.        ],[6e+10],1,9.604569,0.00042482154,-67.43587,1.8047334e-07,-67.43587,0.0
2,[-2.],[0.],[1.5],0.5,-0.8571428571428572,1.5,5.440306864094176,[ 11.30993247 -36.86989765  23.19859051],[-11.76808627 -26.15393419   0.        ],[6e+10],1,8.815622,0.00046284063,-66.69137,2.1422144e-07,-66.69137,0.0
3,[-2.],[0.],[1.5],0.5,-0.2857142857142858,1.5,5.311231841434658,[11.30993247 -9.46232221 23.19859051],[-11.53218834 -20.01933894   0.        ],[6e+10],1,8.393385,0.00048612425,-66.26505,2.3631678e-07,-66.26505,0.0
4,[-2.],[0.],[1.5],0.5,0.2857142857142856,1.5,5.3647564944644,[11.30993247  7.12501635 23.19859051],[-11.03264699 -13.31960755   0.        ],[6e+10],1,8.393385,0.00048612425,-66.26505,2.3631678e-07,-66.26505,0.0
5,[-2.],[0.],[1.5],0.5,0.8571428571428568,1.5,5.59564334905254,[11.30993247 16.69924423 23.19859051],[-10.36403019  -6.7054388    0.        ],[6e+10],1,8.815622,0.00046284063,-66.69137,2.1422144e-07,-66.69137,0.0
6,[-2.],[0.],[1.5],0.5,1.4285714285714284,1.5,5.9833953912609905,[11.30993247 22.61986495 23.19859051],[-9.62163773 -0.69375994  0.        ],[6e+10],1,9.604569,0.00042482154,-67.43587,1.8047334e-07,-67.43587,0.0
7,[-2.],[0.],[1.5],0.5,2.0,1.5,6.5,[11.30993247 26.56505118 23.19859051],[-8.87639508  4.46498824  0.        ],[6e+10],1,10.679261,0.0003820703,-68.35713,1.4597772e-07,-68.35713,0.0
8,[-2.],[0.],[1.5],1.0,-2.0,1.5,6.4031242374328485,[ 18.43494882 -90.          23.19859051],[ -5.35063272 -33.24925223   0.        ],[6e+10],1,12.026824,0.00033926064,-69.38933,1.15097784e-07,-69.38933,0.0
9,[-2.],[0.],[1.5],1.0,-1.4285714285714286,1.5,5.974435333236139,[ 18.43494882 -68.19859051  23.19859051],[ -5.50983524 -29.46616472   0.        ],[6e+10],1,11.083575,0.0003681329,-68.67991,1.3552183e-07,-68.67991,0.0
10,[-2.],[0.],[1.5],1.0,-0.8571428571428572,1.5,5.687436924969823,[ 18.43494882 -36.86989765  23.19859051],[ -5.54341544 -24.58597476   0.        ],[6e+10],1,10.407357,0.0003920523,-68.13312,1.53705e-07,-68.13312,0.0
11,[-2.],[0.],[1.5],1.0,-0.2857142857142858,1.5,5.564097741185842,[18.43494882 -9.46232221 23.19859051],[ -5.44446589 -18.79837242   0.        ],[6e+10],1,10.052204,0.00040590385,-67.831535,1.6475794e-07,-67.831535,0.0
12,[-2.],[0.],[1.5],1.0,0.2857142857142856,1.5,5.615212573438156,[18.43494882  7.12501635 23.19859051],[ -5.23275096 -12.5394467    0.        ],[6e+10],1,10.052204,0.00040590385,-67.831535,1.6475794e-07,-67.831535,0.0
13,[-2.],[0.],[1.5],1.0,0.8571428571428568,1.5,5.836199490232999,[18.43494882 16.69924423 23.19859051],[-4.94484332 -6.34739257  0.        ],[6e+10],1,10.407357,0.0003920523,-68.13312,1.53705e-07,-68.13312,0.0
14,[-2.],[0.],[1.5],1.0,1.4285714285714284,1.5,6.208946803457351,[18.43494882 22.61986495 23.19859051],[-4.61927709 -0.66130083  0.        ],[6e+10],1,11.083575,0.0003681329,-68.67991,1.3552183e-07,-68.67991,0.0
15,[-2.],[0.],[1.5],1.0,2.0,1.5,6.708203932499369,[18.43494882 26.56505118 23.19859051],[-4.2864851  4.2864851  0.       ],[6e+10],1,12.026824,0.00033926064,-69.38933,1.15097784e-07,-69.38933,0.0
16,[-2.],[0.],[1.5],1.5,-2.0,1.5,6.726812023536855,[ 23.19859051 -90.          23.19859051],[  0.         -31.35277306   0.        ],[6e+10],1,13.446399,0.00030344393,-70.35843,9.207822e-08,-70.35843,0.0
17,[-2.],[0.],[1.5],1.5,-1.4285714285714286,1.5,6.320116893778185,[ 23.19859051 -68.19859051  23.19859051],[  0.         -27.60497514   0.        ],[6e+10],1,12.609788,0.00032357627,-69.80047,1.04701606e-07,-69.80047,0.0
18,[-2.],[0.],[1.5],1.5,-0.8571428571428572,1.5,6.04954037721133,[ 23.19859051 -36.86989765  23.19859051],[  0.         -22.93210044   0.        ],[6e+10],2,12.019743,0.0003394605,-69.38422,1.2947852e-07,-68.87802,1.132858
19,[-2.],[0.],[1.5],1.5,-0.2857142857142858,1.5,5.9337326931257515,[23.19859051 -9.46232221 23.19859051],[  0.         -17.51424023   0.        ],[6e+10],2,11.713579,0.0003483332,-69.1601,1.3516693e-07,-68.6913,1.1190951
20,[-2.],[0.],[1.5],1.5,0.2857142857142856,1.5,5.981689748298382,[23.19859051  7.12501635 23.19859051],[  0.         -11.71247231   0.        ],[6e+10],2,11.713579,0.0003483332,-69.1601,1.3516693e-07,-68.6913,1.1190951
21,[-2.],[0.],[1.5],1.5,0.8571428571428568,1.5,6.189606165968551,[23.19859051 16.69924423 23.19859051],[ 0.         -5.96153351  0.        ],[6e+10],2,12.019743,0.0003394605,-69.38422,1.2947852e-07,-68.87802,1.132858
22,[-2.],[0.],[1.5],1.5,1.4285714285714284,1.5,6.542248880023081,[23.19859051 22.61986495 23.19859051],[ 0.         -0.62557036  0.        ],[6e+10],1,12.609788,0.00032357627,-69.80047,1.04701606e-07,-69.80047,0.0
23,[-2.],[0.],[1.5],1.5,2.0,1.5,7.0178344238090995,[23.19859051 26.56505118 23.19859051],[0.         4.08561678 0.        ],[6e+10],1,13.446399,0.00030344393,-70.35843,9.207822e-08,-70.35843,0.0
24,[-2.],[0.],[1.5],2.0,-2.0,1.5,7.14142842854285,[ 26.56505118 -90.          23.19859051],[  4.60707068 -29.42630504   0.        ],[6e+10],1,14.9174385,0.00027352068,-71.26019,7.481356e-08,-71.26019,0.0
25,[-2.],[0.],[1.5],2.0,-1.4285714285714286,1.5,6.759724665326274,[ 26.56505118 -68.19859051  23.19859051],[  4.70752794 -25.74892269   0.        ],[6e+10],1,14.167963,0.00028798982,-70.81246,8.2938136e-08,-70.81246,0.0
26,[-2.],[0.],[1.5],2.0,-0.8571428571428572,1.5,6.507452556531643,[ 26.56505118 -36.86989765  23.19859051],[  4.72841957 -21.30275475   0.        ],[6e+10],2,13.64546,0.0002990173,-70.48608,1.0537271e-07,-69.77272,1.1744974
27,[-2.],[0.],[1.5],2.0,-0.2857142857142858,1.5,6.399936224172034,[26.56505118 -9.46232221 23.19859051],[  4.66656221 -16.25280867   0.        ],[6e+10],2,13.376557,0.0003050283,-70.313194,1.0877513e-07,-69.634705,1.1708716
28,[-2.],[0.],[1.5],2.0,0.2857142857142856,1.5,6.444424896365692,[26.56505118  7.12501635 23.19859051],[  4.53117648 -10.89407604   0.        ],[6e+10],2,13.376557,0.0003050283,-70.313194,1.08775126e-07,-69.634705,1.1708714
29,[-2.],[0.],[1.5],2.0,0.8571428571428568,1.5,6.637862945993681,[26.56505118 16.69924423 23.19859051],[ 4.34036367 -5.57351992  0.        ],[6e+10],2,13.64546,0.0002990173,-70.48608,1.0537271e-07,-69.77272,1.1744974
30,[-2.],[0.],[1.5],2.0,1.4285714285714284,1.5,6.967856227575542,[26.56505118 22.61986495 23.19859051],[ 4.11518851 -0.58887632  0.        ],[6e+10],1,14.167963,0.00028798982,-70.81246,8.2938136e-08,-70.81246,0.0
31,[-2.],[0.],[1.5],2.0,2.0,1.5,7.416198487095663,[26.56505118 26.56505118 23.19859051],[3.87464255 3.87464255 0.        ],[6e+10],1,14.9174385,0.00027352068,-71.26019,7.481356e-08,-71.26019,0.0
32,[-2.],[0.],[1.5],2.5,-2.0,1.5,7.632168761236874,[ 29.0546041  -90.          23.19859051],[  8.47871315 -27.55326483   0.        ],[6e+10],1,16.426126,0.00024839872,-72.09701,6.1701925e-08,-72.09701,0.0
33,[-2.],[0.],[1.5],2.5,-1.4285714285714286,1.5,7.276254362721276,[ 29.0546041  -68.19859051  23.19859051],[  8.63447606 -23.97507068   0.        ],[6e+10],1,15.748611,0.00025908495,-71.731155,6.712501e-08,-71.731155,0.0
34,[-2.],[0.],[1.5],2.5,-0.8571428571428572,1.5,7.042509408975625,[ 29.0546041  -36.86989765  23.19859051],[  8.66667159 -19.76287748   0.        ],[6e+10],2,15.280255,0.0002670262,-71.46892,8.8221725e-08,-70.54424,1.1752416
35,[-2.],[0.],[1.5],2.5,-0.2857142857142858,1.5,6.943283349645857,[29.0546041  -9.46232221 23.19859051],[  8.57114702 -15.06386043   0.        ],[6e+10],2,15.040607,0.0002712808,-71.33162,9.041502e-08,-70.43759,1.1770872
36,[-2.],[0.],[1.5],2.5,0.2857142857142856,1.5,6.984311866239792,[29.0546041   7.12501635 23.19859051],[  8.35999547 -10.11758979   0.        ],[6e+10],2,15.040607,0.0002712808,-71.33162,9.041502e-08,-70.43759,1.1770872
37,[-2.],[0.],[1.5],2.5,0.8571428571428568,1.5,7.163185359167799,[29.0546041  16.69924423 23.19859051],[ 8.05758533 -5.19997222  0.        ],[6e+10],2,15.280255,0.0002670262,-71.46892,8.8221725e-08,-70.54424,1.1752416
38,[-2.],[0.],[1.5],2.5,1.4285714285714284,1.5,7.470008059444331,[29.0546041  22.61986495 23.19859051],[ 7.69355917 -0.55284962  0.        ],[6e+10],1,15.748611,0.00025908495,-71.731155,6.712501e-08,-71.731155,0.0
39,[-2.],[0.],[1.5],2.5,2.0,1.5,7.88986691902975,[29.0546041  26.56505118 23.19859051],[7.2962753 3.6629878 0.       ],[6e+10],1,16.426126,0.00024839872,-72.09701,6.1701925e-08,-72.09701,0.0
40,[-2.],[0.],[1.5],3.0,-2.0,1.5,8.18535277187245,[ 30.96375653 -90.          23.19859051],[ 11.69613348 -25.78267459   0.        ],[6e+10],1,17.962976,0.00022714655,-72.87388,5.1595556e-08,-72.87388,0.0
41,[-2.],[0.],[1.5],3.0,-1.4285714285714286,1.5,7.854545025080728,[ 30.96375653 -68.19859051  23.19859051],[ 11.87710288 -22.32385666   0.        ],[6e+10],1,17.345596,0.0002352314,-72.5701,5.5333814e-08,-72.5701,0.0
42,[-2.],[0.],[1.5],3.0,-0.8571428571428572,1.5,7.638516791597058,[ 30.96375653 -36.86989765  23.19859051],[ 11.91431544 -18.34356048   0.        ],[6e+10],2,16.921497,0.00024112692,-72.35509,7.5387746e-08,-71.22699,1.1498343
43,[-2.],[0.],[1.5],3.0,-0.2857142857142858,1.5,7.547130823927024,[30.96375653 -9.46232221 23.19859051],[ 11.80371214 -13.97064766   0.        ],[6e+10],2,16.705412,0.0002442459,-72.243454,7.688893e-08,-71.141365,1.1542248
44,[-2.],[0.],[1.5],3.0,0.2857142857142856,1.5,7.58489368711902,[30.96375653  7.12501635 23.19859051],[11.55716744 -9.39954656  0.        ],[6e+10],2,16.705412,0.0002442459,-72.243454,7.688893e-08,-71.141365,1.1542248
