sample_id,target_class_id,u1_x,u1_y,u1_z,u1_distance_m,u1_angle_deg,u1_required_rate_bpshz,u1_pilot_snr_db,u2_x,u2_y,u2_z,u2_distance_m,u2_angle_deg,u2_required_rate_bpshz,u2_pilot_snr_db,angular_separation_deg,u1_num_paths,u1_channel_power_db,u1_strongest_delay_ns,u1_rms_delay_spread_ns,u2_num_paths,u2_channel_power_db,u2_strongest_delay_ns,u2_rms_delay_spread_ns,tx0_sector_label,tx0_codebook_label,tx0_sector_angle_deg,tx0_refinement_angle_deg,tx0_target_angle_deg,tx1_sector_label,tx1_codebook_label,tx1_sector_angle_deg,tx1_refinement_angle_deg,tx1_target_angle_deg,best_tx0_sector,best_tx0_codebook,best_tx1_sector,best_tx1_codebook,target_score,target_sinr_u1_db,target_sinr_u2_db,target_rate_u1_bpshz,target_rate_u2_bpshz,target_sum_rate_bpshz
0,1,7.44794238413015,-0.7468728081970599,1.5,7.485296570540573,-5.726424472860107,1.3950462344241479,24.19671277006878,6.505335063520176,1.20492299578846,1.5,6.615982445143343,10.493446778184317,3.405385236124552,25.269006022801868,16.219871251044424,1,-75.80329132080078,24.96826171875,0.0,1,-74.73099517822266,22.068540573120117,0.0,0,0,0.0,-5.0,-5.0,1,0,15.0,-5.0,10.0,0,0,1,0,10.829143833431415,15.806555718298496,16.585529586241627,5.288224657631075,5.540919175800339,10.829143833431415
1,1,3.267849834147926,-0.1043093259173922,1.5,3.2695141801212557,-1.8282528001923861,1.202908486181836,31.39122722039602,2.6311387661421066,0.6376102283702745,1.5,2.707293484278755,13.62202582288922,4.101987791506695,33.03018682293277,15.450278623081607,1,-68.60877227783203,10.905926704406738,0.0,1,-66.96981811523438,9.030558586120605,0.0,0,0,0.0,-5.0,-5.0,1,0,15.0,-5.0,10.0,0,0,1,0,9.626471681439739,16.8275782569078,11.825756412060109,5.619645200836844,4.020203742083127,9.639848942919972
2,2,6.4542551189535216,-0.8983101165855095,1.5,6.5164691517797895,-7.923585826255381,4.478226129467301,25.400646651476354,5.494186491288267,2.4984134904241357,1.5,6.035574137576954,24.453080810816584,4.008111887051966,26.06652168494053,32.37666663707196,1,-74.59934997558594,21.736600875854492,0.0,1,-73.93347930908203,20.13250732421875,0.0,0,0,0.0,-5.0,-5.0,2,0,30.0,-5.0,25.0,0,0,2,0,11.95419754012991,15.349509317469002,20.47252940827494,5.140488539888509,6.8137090002414,11.95419754012991
3,2,7.567511605009928,-0.9700347753191564,1.5,7.629429818622649,-7.30457501250397,2.261398679198399,24.0310509710358,2.5577811475746084,1.0265014172259486,1.5,2.756075027726016,21.866823215412435,1.8018149561132657,32.87507158389497,29.171398227916406,1,-75.96894836425781,25.449039459228516,0.0,1,-67.12493133544922,9.193277359008789,0.0,0,0,0.0,-5.0,-5.0,2,0,30.0,-5.0,25.0,0,0,2,0,15.675972984992736,15.702652466862281,31.36828329224141,5.254602412447878,10.421370572544859,15.675972984992736
4,3,5.481117985870785,-0.27844360161649395,1.5,5.488185967541313,-2.9081549865947567,1.1045062905431116,26.892315368849854,5.09060054939046,3.849572128833006,1.5,6.382273852518578,37.09700111386402,1.5566242323249506,25.581385014242755,40.00515610045878,1,-73.1076889038086,18.306617736816406,0.0,1,-74.41861724853516,21.288972854614258,0.0,0,0,0.0,-5.0,-5.0,3,0,45.0,-5.0,40.0,0,0,3,0,17.11728052471755,26.501452934851226,25.003285781530586,8.806817209995994,8.310463314721554,17.11728052471755
5,3,5.505101656976686,-0.7454221564713354,1.5,5.555339633632298,-7.711275516162788,1.0900745666817575,26.786680722032806,3.2087228424020253,2.8258226330655214,1.5,4.2756491709327475,41.36937117172863,1.3470159902280558,29.06085209186171,49.08064668789142,1,-73.21331787109375,18.53061866760254,0.0,1,-70.93914794921875,14.262030601501465,0.0,0,0,0.0,-5.0,-5.0,3,0,45.0,-5.0,40.0,0,0,3,0,12.726423230057222,17.561731824981763,20.635785545987993,5.858954934601119,6.867468295456102,12.726423230057222
6,4,3.6703905920945545,-0.4243043452956066,1.5,3.6948344044047428,-6.594233647693326,1.3464907574610732,30.328993379475982,5.663681459072841,7.920156782236909,1.5,9.73684605635001,54.43154928239352,2.2266779591827794,21.912527781572987,61.02578293008685,1,-69.67100524902344,12.324641227722168,0.0,1,-78.08747100830078,32.47862243652344,0.0,0,0,0.0,-5.0,-5.0,4,0,60.0,-5.0,55.0,0,0,4,0,16.743849874595227,29.65867406595599,20.7038655588342,9.853958075964075,6.889891798631152,16.743849874595227
7,4,5.1328749734853805,-0.6426542076338301,1.5,5.172949828098279,-7.136499624395878,1.986806433421727,27.406128034441778,5.711908546183284,8.157450804924906,1.5,9.958408651724012,55.0,4.5940549376625714,21.717095015075675,62.13649962439588,1,-72.5938720703125,17.255102157592773,0.0,1,-78.28290557861328,33.217674255371094,0.0,0,0,0.0,-5.0,-5.0,4,0,60.0,-5.0,55.0,0,0,4,0,15.501753002065318,25.668472891200906,20.949937338671205,8.53078818758665,6.970964814478667,15.501753002065318
8,5,4.497305123327482,-0.6715899512948087,1.5,4.547173455564213,-8.493310416034284,3.815705122813413,28.526063055929214,4.644086994334182,-5.5202833298476515,1.5,7.21394982327558,-49.92687222649207,2.1964084171852254,24.51743125675288,41.43356181045779,1,-71.47393798828125,15.167736053466797,0.0,1,-75.4825668334961,24.063146591186523,0.0,0,0,0.0,-5.0,-5.0,5,0,-45.0,-5.0,-50.0,0,0,5,0,13.341636660145738,16.689655616729212,23.36059802569602,5.57477478129259,7.766861878853149,13.341636660145738
9,5,3.317979591042509,-0.24155905911168044,1.5,3.3267610893500503,-4.1639615745273835,1.3368064016231735,31.24046076589471,2.308607849866043,-2.3930293648040823,1.5,3.325095449047703,-46.028679277937805,1.2611248010018694,31.24481023620941,41.86471770341042,1,-68.7595443725586,11.096879959106445,0.0,1,-68.75518798828125,11.091324806213379,0.0,0,0,0.0,-5.0,-5.0,5,0,-45.0,-5.0,-50.0,0,0,5,0,16.48832189521754,31.0653546149214,18.505199076364427,10.32081584326189,6.167506051955649,16.48832189521754
